Product,price,Shipping_cost
Samsung Galaxy S21 5G G991U 128GB GSM Unlocked ATT  T-Mobile Verizon Excellent,$237.99,33.08
Samsung Galaxy S8 Active SM-G892A - 64GB - (GSM Unlocked) Smartphone - Good,$94.98,21.61
Samsung Galaxy A71 5G - 128GB - (Unlocked) Verizon AT&T T-Mobile Metro Cricket,$124.95 to $144.95,22.64
Samsung Galaxy XCover Pro 64GB SM-G715U Verizon Black Phone,$48.47,27.49
Samsung Galaxy S9 Plus - 64 GB - Unlocked SIM - Fair condition - Working! Read!,$97.50,28.94
Samsung Galaxy Z Flip3 5G SM-F711B/DS 128/256GB Unlocked Very Good Condition,$333.29 to $358.45,27.66
Samsung Galaxy S21 5G - 128GB- (Factory Unlocked),$184.99,31.52
Samsung Galaxy S21 | S21+ Plus 5G 128GB - (Unlocked) Verizon T-Mobile AT&T,$214.95 to $309.95,32.99
Samsung Galaxy S9 PLUS G965U GSM Factory Unlocked 64GB Smartphone- Image Burn,$109.99,30.08
New ListingSamsung Galaxy Note9 SM-N960U - 128GB - Lavender (Unlocked),$80.00,35.91
Samsung Galaxy Note 10 Plus SM-N975U 256GB Aura Glow Smartphone.,$175.00,41.00
Samsung Galaxy A51 SM-A515U (USA) 128GB+4GB 48MP Unlocked Smartphone-New Sealed,$170.00,ree s
Samsung Galaxy Z Flip 4 5G SM-F721U 128GB 256GB Locked- For  T-Mobile/Metro,$319.95 to $339.95,81.79
Samsung Flip Phone E1272 Big Button Basic Flip Phone - Unlocked - Dual Sim,$32.06,18.85
Samsung Galaxy A51 A515U Verizon Unlocked 128GB Black C Light Burn,$69.99,28.13
NEW Samsung Galaxy S20 FE 5G SM-G781U 128GB Fully Unlocked GSM+CDMA All Carriers,$229.88,33.62
SAMSUNG GALAXY S21 ULTRA 5G G998U1 128GB 256GB (FACTORY UNLOCKED) ⚫️⚪️🟣✤SEALED✤,$398.95,38.60
**NEW** Samsung Galaxy A54 SM-A546U1 5G 128GB BLACK GSM UNLOCKED USA Warranty ✅,$274.99,26.92
SAMSUNG GALAXY TAB T395 ACTIVE 2 LTE 4GB GRADE A FULL . MINT. LIKE NEW,$91.32,21.49
NEW Samsung Galaxy Note 8 SM-N950U 64GB GSM Unlocked AT&T T-Mobile Verizon Metro,$219.88,33.32
Samsung S21 5G Unlocked G991U 128GB Android Smartphone Spot,$177.45,31.30
Samsung Galaxy S10e SM-G970U - 128GB - Prism Black (Unlocked),$100.00,29.01
New ListingSamsung Galaxy Z Fold4 - 512 GB - Beige (Unlocked) (Single SIM),$7.99,26.30
UNLOCKED- Samsung Galaxy A03s - 32GB - Black - Android 13,$85.00,28.57
SAMSUNG GALAXY S22 PLUS 5G S906U1 128GB│256GB │512GB (FACTORY UNLOCKED) ❖SEALED❖,$529.95 to $584.95,43.32
Samsung Galaxy Z Flip 5 SM-F731U1 Factory Unlocked 512GB Blue OPEN BOX,$579.99,43.17
Samsung Galaxy A12 32GB 64GB 128GB All Colours Dual SIM Unlocked - Very Good,$125.71,24.61
Samsung Galaxy A71 5G SM-A716U 128GB+6GB 64MP Unlocked Smartphone- New Unopened,$215.00,ree s
Samsung Galaxy S22 Ultra 5G Smartphone 128GB 17.3cm (6.8-Inch) Black,$773.56,21.49
Samsung Galaxy S21 5G SM-G991U 128GB Unlocked Smartphone - B+ Stock,$187.99,31.61
Samsung Galaxy S10+ Plus Unlocked AT&T Verizon T-Mobile Used S10 Plus G975U,$159.89,30.78
Samsung Galaxy S8 SM-G950U - 64GB - Blue Coral (Unlocked),$43.00,32.07
Samsung Galaxy S9 Unlocked | T-Mobile AT&T Verizon | 64GB 4G Smartphone Good,$124.00,29.72
Samsung Galaxy S21 5G - 128-256GB - Fully Unlocked - VERY GOOD Condition - BURN,$189.99,31.67
Samsung Galaxy Note 20 5g New 128GB Warranty BLACK,$311.58,31.16
Samsung Galaxy S20 FE - 128GB - Fully Unlocked - VERY GOOD Condition - (BURN),$154.97,30.63
New ListingSamsung Galaxy S8 64GB G950U - As-Is/For Parts - Cracked Screen - Orchid Gray,$29.49,26.93
"Samsung SGH-D410 Olympics Worldwide Partner Edition 2003, International",$18.74,38.19
New ListingSamsung S22 UNLOCKED with Accessories,$61.50,34.58
SAMSUNG GALAXY Z FLIP3 5G 128GB SM-F711U (VERIZON ONLY),$199.99,31.96
"New ListingSamsung Galaxy Note20 5G SM-N981U , 256GB,Mystic Green ,Unlocked,Fair Cond:CC368",$189.00,32.41
Samsung Galaxy Note 20 5G SM-N981U1 128GB Mystic Bronze Fully Unlocked READ,$68.00,28.07
Samsung Galaxy A53 5G - 128GB - Black (For AT&T Smartphone),$53.00,20.37
⭐ FULLY UNLOCKED ⭐ Samsung Galaxy S21 5G 128GB AT&T T-Mobile Verizon PERFECT ⭐,$229.00 to $259.00,33.70
Samsung Galaxy S20 FE 128GB G781UW Unlocked with LCD Shadows - Very Good,$140.99 to $153.99,30.22
Samsung Galaxy S20+ Plus 5G G986U Unlocked 128GB,$180.00,32.14
Samsung Galaxy Note 20 5G SM-N981U - 128GB -  (Unlocked)-Excellent Condition,$239.99,33.91
Factory Unlocked Samsung Galaxy S20 FE 128GB 6.5'' Navy Smartphone - Grade B,$155.00,30.63
"Fully Unlocked Samsung Galaxy Note20 5G 6.7"" 128GB Bronze Smartphone - Grade B",$219.00,32.52
New Sealed Samsung Galaxy A25 Smartphone 128GB Unlocked 5G Dual Sim 2024 Model,$264.06,29.38
Samsung Galaxy S21 5G 64GB 128GB 256GB Verizon AT&T T-Mobile Unlocked Very Good,$194.75 to $227.99,32.79
