store_name,location,rating
العربية للعود 4,7093، الرياض 12262، المملكة العربية السعودية,3.8
العربية للعود,3201 شارع الثميري، الديرة، 3201 شارع الثميري، الديرة 6869، الرياض 12634، المملكة العربية السعودية,4.6
العربية للعود 359,qpjj+888، غرناطة، الرياض 13241، المملكة العربية السعودية,4.2
العربية للعود,طريق الأمير محمد بن عبدالعزيز، المعذر الشمالي، الرياض 12332، المملكة العربية السعودية,3.9
العربية للعود 1091,6869 الطريق الدائري الشرقي، الجزيرة، الرياض 14251، المملكة العربية السعودية,4.4
العربية للعود فرع الدائري الغربي,الطريق الدائري الغربي الفرعي، السويدي الغربي، الرياض 12992، المملكة العربية السعودية,4.7
العربية للعود,"rura7465, 2348 وادي الساحل، 7465, حي, الرمال, الرياض 13263، المملكة العربية السعودية",4.5
العربية للعود فرع العنود بارك,"طريق الحائر, حي العزيزية، الرياض 14515، المملكة العربية السعودية",4.0
746 العربية للعود,3243 شارع الطائف، ظهرة لبن، الرياض 13782، المملكة العربية السعودية,3.7
العربية للعود,8820 شارع حمزة بن عبدالمطلب، السويدي الغربي، الرياض 12991، المملكة العربية السعودية,4.8
العربية للعود,souq hijab، شارع أسامة بن زيد، النسيم الغربي، الرياض 14233، المملكة العربية السعودية,3.2
العربية للعود,rj6h+xgr، الصحافة، الرياض 13321، المملكة العربية السعودية,4.3
العربية للعود,طريق عثمان بن عفان، النزهة، الرياض 12474، المملكة العربية السعودية,3.9
العربية للعود فرع الرياض جاليري,7639 طريق الملك فهد، حي الملك فهد، الرياض 12262 3168، المملكة العربية السعودية,4.3
672 العربية للعود | arabian oud,"ground floor, othaim mall, طريق خريص، النسيم الشرقي، gate no 1, الرياض 14241، المملكة العربية السعودية",5.0
العربية للعود فرع جنى مول,الهفوف، الياسمين، الرياض 13325، المملكة العربية السعودية,4.1
720 العربية للعود | arabian oud,8346 الترمذي، الشفا، الرياض 14713، المملكة العربية السعودية,4.0
العربية للعود,"حي, الحمراء، سينومي الحمراء مول المملكة العربية السعودية",3.4
العربية للعود,"حي, وادي الاعشاب، ديراب، الرياض 14969، المملكة العربية السعودية",4.8
العربية للعود 18,الملك فهد، الرياض 12261، المملكة العربية السعودية,5.0
العربية للعود 177,pmm7+cg، الملك فهد، الرياض 12261، المملكة العربية السعودية,4.8
العربية للعود 680,قرطبة، الرياض 13245، المملكة العربية السعودية,5.0
العربية للعود 1247,طريق أنس ابن مالك، الملقا، الرياض 13524، المملكة العربية السعودية,3.8
45 العربية للعود | arabian oud,"tuwaiq, unnamed road، الرياض 14921، المملكة العربية السعودية",3.4
العربية للعود,مطار الملك خالد الدولي، الرياض 13455، المملكة العربية السعودية,4.5
العربية للعود 15,الامام تركي بن عبدالله بن محمد، الديرة، الرياض 12652، المملكة العربية السعودية,5.0
مصنع العربية للعود,3118، المدينة الصناعية الجديدة، الرياض 14332، المملكة العربية السعودية,3.8
